"type","council","fmp","fmp_short","stock_orig","stock","stock_type","comm_name","area","overfishing","overfished","overfished_close","mgmt_action","rebuilding_progress","bbmsy","points"
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Darkblotched rockfish - Pacific Coast","Darkblotched rockfish - Pacific Coast","stock","Darkblotched rockfish","Pacific Coast","No","No","No","NA","NA",1,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Dover sole - Pacific Coast","Dover sole - Pacific Coast","stock","Dover sole","Pacific Coast","No","No","No","NA","NA",3.35,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","English sole - Pacific Coast","English sole - Pacific Coast","stock","English sole","Pacific Coast","No","No","No","NA","NA",3.52,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Gopher rockfish - Northern California","Gopher rockfish - Northern California","stock","Gopher rockfish","Northern California","Unknown","No","Unknown","NA","NA",2.42,2.5
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Lingcod - Northern Pacific Coast","Lingcod - Northern Pacific Coast","stock","Lingcod","Northern Pacific Coast","No","No","No","NA","NA",1.45,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Lingcod - Southern Pacific Coast","Lingcod - Southern Pacific Coast","stock","Lingcod","Southern Pacific Coast","No","No","No","NA","NA",0.82,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Longnose skate - Pacific Coast","Longnose skate - Pacific Coast","stock","Longnose skate","Pacific Coast","No","No","No","NA","NA",2.83,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Longspine thornyhead - Pacific Coast","Longspine thornyhead - Pacific Coast","stock","Longspine thornyhead","Pacific Coast","No","No","No","NA","NA",1.88,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Oregon Blue and Deacon Rockfish Complex","Oregon Blue and Deacon Rockfish Complex","stock complex","Oregon Blue and Deacon Rockfish Complex",NA,"Unknown","No","No","NA","NA",1.71,2.5
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Pacific ocean perch - Pacific Coast","Pacific ocean perch - Pacific Coast","stock","Pacific ocean perch","Pacific Coast","No","No","No","NA","NA",1.92,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Pacific sanddab - Pacific Coast","Pacific sanddab - Pacific Coast","stock","Pacific sanddab","Pacific Coast","Unknown","No","No","NA","NA",NA,2.5
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Petrale sole - Pacific Coast","Petrale sole - Pacific Coast","stock","Petrale sole","Pacific Coast","No","No","No","NA","NA",1.23,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Rex sole - Pacific Coast","Rex sole - Pacific Coast","stock","Rex sole","Pacific Coast","Unknown","No","No","NA","NA",3.2,2.5
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Sablefish - Pacific Coast","Sablefish - Pacific Coast","stock","Sablefish","Pacific Coast","No","No","No","NA","NA",0.97,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Sharpchin rockfish - Pacific Coast","Sharpchin rockfish - Pacific Coast","stock","Sharpchin rockfish","Pacific Coast","Unknown","No","No","NA","NA",1.7,2.5
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Shortbelly rockfish - Pacific Coast","Shortbelly rockfish - Pacific Coast","stock","Shortbelly rockfish","Pacific Coast","No","No","No","NA","NA",1.67,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Shortspine thornyhead - Pacific Coast","Shortspine thornyhead - Pacific Coast","stock","Shortspine thornyhead","Pacific Coast","No","No","No","NA","NA",1.85,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Spiny dogfish - Pacific Coast","Spiny dogfish - Pacific Coast","stock","Spiny dogfish","Pacific Coast","No","No","No","NA","NA",1.58,4
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Stripetail rockfish - Pacific Coast","Stripetail rockfish - Pacific Coast","stock","Stripetail rockfish","Pacific Coast","Unknown","No","No","NA","NA",NA,2.5
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Vermilion rockfish - California","Vermilion rockfish - California","stock","Vermilion rockfish","California","Unknown","Unknown","Unknown","NA","NA",NA,0
"FSSI","PFMC","Pacific Coast Groundfish","Groundfish","Widow rockfish - Pacific Coast","Widow rockfish - Pacific Coast","stock","Widow rockfish","Pacific Coast","No","No","No","NA","NA",2.3,4
"FSSI","PFMC","Pacific Coast Salmon","Salmon","Chinook salmon - California Central Valley: Sacramento River Fall","Chinook salmon - California Central Valley: Sacramento River Fall","stock","Chinook salmon","California Central Valley: Sacramento River Fall","No","Yes","NA","Continue Rebuilding","Year 2 of 3-year plan",0.74,2
"FSSI","PFMC","Pacific Coast Salmon","Salmon","Chinook salmon - Northern California Coast: Klamath River Fall","Chinook salmon - Northern California Coast: Klamath River Fall","stock","Chinook salmon","Northern California Coast: Klamath River Fall","No","Yes","NA","Continue Rebuilding","Year 2 of 2-year plan",0.48,2
"FSSI","SAFMC","Dolphin and Wahoo Fishery of the Atlantic","Dolphin and Wahoo","Dolphinfish - Southern Atlantic Coast","Dolphinfish - Southern Atlantic Coast","stock","Dolphinfish","Southern Atlantic Coast","No","No","No","NA","NA",1.56,4
"FSSI","SAFMC","Shrimp Fishery of the South Atlantic Region","Shrimp","Brown rock shrimp - Southern Atlantic Coast","Brown rock shrimp - Southern Atlantic Coast","stock","Brown rock shrimp","Southern Atlantic Coast","No","Unknown","Unknown","NA","NA",NA,1.5
"FSSI","SAFMC","Shrimp Fishery of the South Atlantic Region","Shrimp","Brown shrimp - Southern Atlantic Coast","Brown shrimp - Southern Atlantic Coast","stock","Brown shrimp","Southern Atlantic Coast","No","No","No","NA","NA",6.65,4
"FSSI","SAFMC","Shrimp Fishery of the South Atlantic Region","Shrimp","Pink shrimp - Southern Atlantic Coast","Pink shrimp - Southern Atlantic Coast","stock","Pink shrimp","Southern Atlantic Coast","No","No","No","NA","NA",5.39,4
"FSSI","SAFMC","Shrimp Fishery of the South Atlantic Region","Shrimp","White shrimp - Southern Atlantic Coast","White shrimp - Southern Atlantic Coast","stock","White shrimp","Southern Atlantic Coast","No","No","No","NA","NA",8.33,4
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Black sea bass - Southern Atlantic Coast","Black sea bass - Southern Atlantic Coast","stock","Black sea bass","Southern Atlantic Coast","No","No","No","NA","NA",0.71,3
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Blueline tilefish - Southern Atlantic Coast","Blueline tilefish - Southern Atlantic Coast","stock","Blueline tilefish","Southern Atlantic Coast","No","No","No","NA","NA",1.06,4
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Gag - Southern Atlantic Coast","Gag - Southern Atlantic Coast","stock","Gag","Southern Atlantic Coast","No","No","No","NA","NA",0.97,4
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Gray triggerfish - Southern Atlantic Coast","Gray triggerfish - Southern Atlantic Coast","stock","Gray triggerfish","Southern Atlantic Coast","No","Unknown","Unknown","NA","NA",NA,1.5
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Red grouper - Southern Atlantic Coast","Red grouper - Southern Atlantic Coast","stock","Red grouper","Southern Atlantic Coast","No","Yes","NA","Continue Rebuilding","Year 9 of 9-year plan",0.29,2
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Red porgy - Southern Atlantic Coast","Red porgy - Southern Atlantic Coast","stock","Red porgy","Southern Atlantic Coast","Yes","Yes","No","Reduce Mortality, Continue Rebuilding","Year 22 of 19-year plan",0.27,1
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Red snapper - Southern Atlantic Coast","Red snapper - Southern Atlantic Coast","stock","Red snapper","Southern Atlantic Coast","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 11 of 35-year plan",0.16,1
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Scamp - Southern Atlantic Coast","Scamp - Southern Atlantic Coast","stock","Scamp","Southern Atlantic Coast","No","Unknown","Unknown","NA","NA",NA,1.5
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Snowy grouper - Southern Atlantic Coast","Snowy grouper - Southern Atlantic Coast","stock","Snowy grouper","Southern Atlantic Coast","No","Yes","NA","Continue Rebuilding","Year 15 of 34-year plan",0.49,2
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Tilefish - Southern Atlantic Coast","Tilefish - Southern Atlantic Coast","stock","Tilefish","Southern Atlantic Coast","Yes","No","No","Reduce Mortality","NA",0.85,3
"FSSI","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","Snapper-Grouper","Vermilion snapper - Southern Atlantic Coast","Vermilion snapper - Southern Atlantic Coast","stock","Vermilion snapper","Southern Atlantic Coast","No","No","No","NA","NA",1.13,4
"FSSI","SAFMC/GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Coastal Migratory Pelagics","Cobia - Gulf of Mexico","Cobia - Gulf of Mexico","stock","Cobia","Gulf of Mexico","Yes","No","No","Reduce Mortality","NA",0.69,2
"FSSI","SAFMC/GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Coastal Migratory Pelagics","King mackerel - Gulf of Mexico","King mackerel - Gulf of Mexico","stock","King mackerel","Gulf of Mexico","No","No","No","NA","NA",0.92,4
"FSSI","SAFMC/GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Coastal Migratory Pelagics","Spanish mackerel - Gulf of Mexico","Spanish mackerel - Gulf of Mexico","stock","Spanish mackerel","Gulf of Mexico","No","No","No","NA","NA",1.84,4
"FSSI","SAFMC/GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Coastal Migratory Pelagics","Spanish mackerel - Southern Atlantic Coast","Spanish mackerel - Southern Atlantic Coast","stock","Spanish mackerel","Southern Atlantic Coast","No","No","No","NA","NA",1.49,4
"FSSI","SAFMC/GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico",NA,"Black grouper - Southern Atlantic Coast / Gulf of Mexico","Black grouper - Southern Atlantic Coast / Gulf of Mexico","stock","Black grouper","Southern Atlantic Coast / Gulf of Mexico","No","No","No","NA","NA",1.4,4
"FSSI","SAFMC/GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico",NA,"Mutton snapper - Southern Atlantic Coast / Gulf of Mexico","Mutton snapper - Southern Atlantic Coast / Gulf of Mexico","stock","Mutton snapper","Southern Atlantic Coast / Gulf of Mexico","No","No","No","NA","NA",1.13,4
"FSSI","SAFMC/GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico",NA,"Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico","Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico","stock","Yellowtail snapper","Southern Atlantic Coast / Gulf of Mexico","No","No","No","NA","NA",1.42,4
"FSSI","WPFMC","American Samoa Archipelago Ecosystem","American Samoa Archipelago Ecosystem","American Samoa Bottomfish Multi-species Complex","American Samoa Bottomfish Multi-species Complex","stock complex","American Samoa Bottomfish Multi-species Complex",NA,"Yes","Yes","NA","Reduce Mortality, Rebuilding Program","NA",0.38,1
"FSSI","WPFMC","Hawaii Archipelago Ecosystem","Hawaii Archipelago Ecosystem","Green jobfish - Main Hawaiian Islands","Green jobfish - Main Hawaiian Islands","stock","Green jobfish","Main Hawaiian Islands","No","No","No","NA","NA",2.45,4
"FSSI","WPFMC","Hawaii Archipelago Ecosystem","Hawaii Archipelago Ecosystem","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","stock complex","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex",NA,"No","No","No","NA","NA",NA,4
"FSSI","WPFMC","Mariana Archipelago Ecosystem","Mariana Archipelago Ecosystem","Guam Bottomfish Multi- species Complex","Guam Bottomfish Multi- species Complex","stock complex","Guam Bottomfish Multi- species Complex",NA,"No","Yes","NA","Rebuilding Program","NA",0.58,2
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Albacore - North Atlantic","Albacore - North Atlantic","stock","Albacore","North Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Bigeye tuna - Atlantic","Bigeye tuna - Atlantic","stock","Bigeye tuna","Atlantic","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 22 of plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Blacknose shark - Gulf of Mexico","Blacknose shark - Gulf of Mexico","stock","Blacknose shark","Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Blue marlin - Atlantic","Blue marlin - Atlantic","stock","Blue marlin","Atlantic","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 20 of 28-year plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Blue shark - North Atlantic","Blue shark - North Atlantic","stock","Blue shark","North Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Bluefin tuna - Western Atlantic","Bluefin tuna - Western Atlantic","stock","Bluefin tuna","Western Atlantic","No","Unknown","NA","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Bonnethead - Atlantic","Bonnethead - Atlantic","stock","Bonnethead","Atlantic","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Bonnethead - Gulf of Mexico","Bonnethead - Gulf of Mexico","stock","Bonnethead","Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Bull shark - Atlantic and Gulf of Mexico","Bull shark - Atlantic and Gulf of Mexico","stock","Bull shark","Atlantic and Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Dusky shark - Atlantic and Gulf of Mexico","Dusky shark - Atlantic and Gulf of Mexico","stock","Dusky shark","Atlantic and Gulf of Mexico","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 13 of 100-year plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Gulf Smoothhound Complex","Gulf Smoothhound Complex","stock complex","Gulf Smoothhound Complex",NA,"No","No","No","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Longbill spearfish - Western Atlantic","Longbill spearfish - Western Atlantic","stock","Longbill spearfish","Western Atlantic","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Nurse shark - Atlantic and Gulf of Mexico","Nurse shark - Atlantic and Gulf of Mexico","stock","Nurse shark","Atlantic and Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Porbeagle - Northwestern Atlantic","Porbeagle - Northwestern Atlantic","stock","Porbeagle","Northwestern Atlantic","No","Yes","NA","Continue Rebuilding","Year 13 of 100-year plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Prohibited Species","Prohibited Species","stock","Prohibited Species",NA,"Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Roundscale spearfish - Atlantic","Roundscale spearfish - Atlantic","stock","Roundscale spearfish","Atlantic","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Sailfish - Western Atlantic","Sailfish - Western Atlantic","stock","Sailfish","Western Atlantic","No","No - Rebuilding","No","Continue Rebuilding","Year 22 of plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Shortfin mako - North Atlantic","Shortfin mako - North Atlantic","stock","Shortfin mako","North Atlantic","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 2 of plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Silky shark - Atlantic and Gulf of Mexico","Silky shark - Atlantic and Gulf of Mexico","stock","Silky shark","Atlantic and Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Skipjack tuna - Western Atlantic","Skipjack tuna - Western Atlantic","stock","Skipjack tuna","Western Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Spinner shark - Atlantic and Gulf of Mexico","Spinner shark - Atlantic and Gulf of Mexico","stock","Spinner shark","Atlantic and Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Swordfish - North Atlantic","Swordfish - North Atlantic","stock","Swordfish","North Atlantic","No","No","NA","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Thresher shark - Atlantic and Gulf of Mexico","Thresher shark - Atlantic and Gulf of Mexico","stock","Thresher shark","Atlantic and Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Tiger shark - Atlantic and Gulf of Mexico","Tiger shark - Atlantic and Gulf of Mexico","stock","Tiger shark","Atlantic and Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","White marlin - Atlantic","White marlin - Atlantic","stock","White marlin","Atlantic","No","Yes","No","Continue Rebuilding","Year 20 of plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Yellowfin tuna - Atlantic","Yellowfin tuna - Atlantic","stock","Yellowfin tuna","Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","CFMC","Corals and Reef Associated Plants and Invertebrates of Puerto Rico and the United States Virgin Islands","Corals","Caribbean Aquarium Trade Plants and Invertebrates Species Complex","Caribbean - Aquarium Trade Plants and Invertebrates Species Complex","stock complex","Caribbean","Aquarium Trade Plants and Invertebrates Species Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Caribbean Aquarium Trade Reef Fish Species Complex","Caribbean - Aquarium Trade Reef Fish Species Complex","stock complex","Caribbean","Aquarium Trade Reef Fish Species Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Caribbean Groupers","Caribbean - Groupers","stock","Caribbean","Groupers","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Caribbean Parrotfishes Complex","Caribbean - Parrotfishes Complex","stock complex","Caribbean","Parrotfishes Complex","No","No","Yes","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Caribbean Snappers","Caribbean - Snappers","stock","Caribbean","Snappers","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Caribbean Tilefishes Complex","Caribbean - Tilefishes Complex","stock complex","Caribbean","Tilefishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Goliath grouper - Caribbean","Goliath grouper - Caribbean","stock","Goliath grouper","Caribbean","No","Yes","NA","Continue Rebuilding","Year 16 of 30-year plan",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Nassau grouper - Caribbean","Nassau grouper - Caribbean","stock","Nassau grouper","Caribbean","No","Yes","NA","Continue Rebuilding","Year 16 of 25-year plan",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Angelfishes Complex","Puerto Rico - Angelfishes Complex","stock complex","Puerto Rico","Angelfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Boxfishes Complex","Puerto Rico - Boxfishes Complex","stock complex","Puerto Rico","Boxfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Goatfishes Complex","Puerto Rico - Goatfishes Complex","stock complex","Puerto Rico","Goatfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Grunts Complex","Puerto Rico - Grunts Complex","stock complex","Puerto Rico","Grunts Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Jacks Complex","Puerto Rico - Jacks Complex","stock complex","Puerto Rico","Jacks Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Scups and Porgies Complex","Puerto Rico - Scups and Porgies Complex","stock complex","Puerto Rico","Scups and Porgies Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Squirrelfishes Complex","Puerto Rico - Squirrelfishes Complex","stock complex","Puerto Rico","Squirrelfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Surgeonfishes Complex","Puerto Rico - Surgeonfishes Complex","stock complex","Puerto Rico","Surgeonfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","Puerto Rico Triggerfishes and Filefishes Complex","Puerto Rico - Triggerfishes and Filefishes Complex","stock complex","Puerto Rico","Triggerfishes and Filefishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Angelfishes Complex","St. Croix - Angelfishes Complex","stock complex","St. Croix","Angelfishes Complex","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Boxfishes Complex","St. Croix - Boxfishes Complex","stock complex","St. Croix","Boxfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Goatfishes Complex","St. Croix - Goatfishes Complex","stock complex","St. Croix","Goatfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Grunts Complex","St. Croix - Grunts Complex","stock complex","St. Croix","Grunts Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Jacks Complex","St. Croix - Jacks Complex","stock complex","St. Croix","Jacks Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Scups and Porgies Complex","St. Croix - Scups and Porgies Complex","stock complex","St. Croix","Scups and Porgies Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Squirrelfishes Complex","St. Croix - Squirrelfishes Complex","stock complex","St. Croix","Squirrelfishes Complex","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Surgeonfishes Complex","St. Croix - Surgeonfishes Complex","stock complex","St. Croix","Surgeonfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Triggerfishes and Filefishes Complex","St. Croix - Triggerfishes and Filefishes Complex","stock complex","St. Croix","Triggerfishes and Filefishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Croix Wrasses Complex","St. Croix - Wrasses Complex","stock complex","St. Croix","Wrasses Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Thomas / St. John Angelfishes Complex","St. Thomas / St. John - Angelfishes Complex","stock complex","St. Thomas / St. John","Angelfishes Complex","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Thomas / St. John Boxfishes Complex","St. Thomas / St. John - Boxfishes Complex","stock complex","St. Thomas / St. John","Boxfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Thomas / St. John Goatfishes Complex","St. Thomas / St. John - Goatfishes Complex","stock complex","St. Thomas / St. John","Goatfishes Complex","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Reef Fish","St. Thomas / St. John Grunts Complex","St. Thomas / St. John - Grunts Complex","stock complex","St. Thomas / St. John","Grunts Complex","No","Unknown","Unknown","NA","NA",NA,NA
